year_month,person,screen_time_seconds
2013-03,al sharpton,12850
2013-04,al sharpton,11956
2013-05,al sharpton,11898
2013-06,al sharpton,12673
2013-07,al sharpton,27438
2013-08,al sharpton,18495
2013-09,al sharpton,15283
2013-10,al sharpton,14033
2013-11,al sharpton,12960
2013-12,al sharpton,13159
2014-01,al sharpton,13518
2014-02,al sharpton,11746
2014-03,al sharpton,12083
2014-04,al sharpton,15456
2014-05,al sharpton,11925
2014-06,al sharpton,10351
2014-07,al sharpton,12424
2014-08,al sharpton,24469
2014-09,al sharpton,10129
2014-10,al sharpton,9648
2014-11,al sharpton,16232
2014-12,al sharpton,20876
2015-01,al sharpton,10215
2015-02,al sharpton,10217
2015-03,al sharpton,11866
2015-04,al sharpton,9960
2015-05,al sharpton,7383
2015-06,al sharpton,10280
2015-07,al sharpton,9316
2015-08,al sharpton,6124
2015-09,al sharpton,2062
2015-10,al sharpton,2478
2015-11,al sharpton,2199
2015-12,al sharpton,3980
2016-01,al sharpton,3103
2016-02,al sharpton,6237
2016-03,al sharpton,2828
2016-04,al sharpton,6882
2016-05,al sharpton,2972
2016-06,al sharpton,3508
2016-07,al sharpton,6923
2016-08,al sharpton,2767
2016-09,al sharpton,2857
2016-10,al sharpton,3102
2016-11,al sharpton,3292
2016-12,al sharpton,2147
2017-01,al sharpton,4744
2017-02,al sharpton,4000
2017-03,al sharpton,4037
2017-04,al sharpton,5483
2017-05,al sharpton,4211
2017-06,al sharpton,5170
2017-07,al sharpton,6161
2017-08,al sharpton,8275
2017-09,al sharpton,4261
2017-10,al sharpton,6193
2017-11,al sharpton,4874
2017-12,al sharpton,7049
2018-01,al sharpton,9042
2018-02,al sharpton,5863
2018-03,al sharpton,7826
2018-04,al sharpton,8569
2018-05,al sharpton,8214
2018-06,al sharpton,6980
2018-07,al sharpton,9808
2018-08,al sharpton,13837
2018-09,al sharpton,8309
2018-10,al sharpton,11127
2018-11,al sharpton,10933
2018-12,al sharpton,11133
2019-01,al sharpton,11048
2019-02,al sharpton,12649
2019-03,al sharpton,12551
2019-04,al sharpton,16320
2019-05,al sharpton,12610
2019-06,al sharpton,19964
2019-07,al sharpton,17771
2019-08,al sharpton,15184
2019-09,al sharpton,11265
2019-10,al sharpton,9135
